,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
80,81,1,57,54,51,3
81,82,1,38,54,55,3
82,83,1,67,54,41,3
83,84,2,46,54,44,3
84,85,2,21,54,57,3
85,86,1,48,54,46,3
86,87,2,55,57,58,3
87,88,2,22,57,55,3
88,89,2,34,58,60,3
89,90,2,50,58,46,3
90,91,2,68,59,55,3
91,92,1,18,59,41,3
92,93,1,48,60,49,3
93,94,2,40,60,40,3
94,95,2,32,60,42,3
95,96,1,24,60,52,3
96,97,2,47,60,47,3
97,98,2,27,60,50,3
98,99,1,48,61,42,3
99,100,1,20,61,49,3
100,101,2,23,62,41,3
101,102,2,49,62,48,3
102,103,1,67,62,59,3
103,104,1,26,62,55,3
104,105,1,49,62,56,3
105,106,2,21,62,42,3
106,107,2,66,63,50,3
107,108,1,54,63,46,3
108,109,1,68,63,43,3
109,110,1,66,63,48,3
110,111,1,65,63,52,3
111,112,2,19,63,54,3
112,113,2,38,64,42,3
113,114,1,19,64,46,3
114,115,2,18,65,48,3
115,116,2,19,65,50,3
116,117,2,63,65,43,3
117,118,2,49,65,59,3
118,119,2,51,67,43,3
119,120,2,50,67,57,3
120,121,1,27,67,56,3
121,122,2,38,67,40,3
122,123,2,40,69,58,3
123,124,1,39,69,91,0
124,125,2,23,70,29,2
125,126,2,31,70,77,0
126,127,1,43,71,35,2
127,128,1,40,71,95,0
128,129,1,59,71,11,2
129,130,1,38,71,75,0
130,131,1,47,71,9,2
131,132,1,39,71,75,0
132,133,2,25,72,34,2
133,134,2,31,72,71,0
134,135,1,20,73,5,2
135,136,2,29,73,88,0
136,137,2,44,73,7,2
137,138,1,32,73,73,0
138,139,1,19,74,10,2
139,140,2,35,74,72,0
140,141,2,57,75,5,2
141,142,1,32,75,93,0
142,143,2,28,76,40,2
143,144,2,32,76,87,0
144,145,1,25,77,12,2
145,146,1,28,77,97,0
146,147,1,48,77,36,2
147,148,2,32,77,74,0
148,149,2,34,78,22,2
149,150,1,34,78,90,0
150,151,1,43,78,17,2
151,152,1,39,78,88,0
152,153,2,44,78,20,2
153,154,2,38,78,76,0
154,155,2,47,78,16,2
155,156,2,27,78,89,0
156,157,1,37,78,1,2
157,158,2,30,78,78,0
158,159,1,34,78,1,2
159,160,2,30,78,73,0
160,161,2,56,79,35,2
161,162,2,29,79,83,0
162,163,1,19,81,5,2
163,164,2,31,81,93,0
164,165,1,50,85,26,2
165,166,2,36,85,75,0
166,167,1,42,86,20,2
167,168,2,33,86,95,0
168,169,2,36,87,27,2
169,170,1,32,87,63,0
170,171,1,40,87,13,2
171,172,1,28,87,75,0
172,173,1,36,87,10,2
173,174,1,36,87,92,0
174,175,2,52,88,13,2
175,176,2,30,88,86,0
176,177,1,58,88,15,2
177,178,1,27,88,69,0
178,179,1,59,93,14,2
179,180,1,35,93,90,0
180,181,2,37,97,32,2
181,182,2,32,97,86,0
182,183,1,46,98,15,2
183,184,2,29,98,88,0
184,185,2,41,99,39,2
185,186,1,30,99,97,0
186,187,2,54,101,24,2
187,188,1,28,101,68,0
188,189,2,41,103,17,2
189,190,2,36,103,85,0
190,191,2,34,103,23,2
191,192,2,32,103,69,0
192,193,1,33,113,8,2
193,194,2,38,113,91,0
194,195,2,47,120,16,2
195,196,2,35,120,79,0
196,197,2,45,126,28,2
197,198,1,32,126,74,0
198,199,1,32,137,18,2
199,200,1,30,137,83,0
